Record Length,Analog:7000
Sample Interval,CH:0.0000099999997
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:+2.000000E-02 CH2:+2.000000E-02,,,
Vertical Offset,CH1:+0.000000E+00 CH2:+0.000000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,5000.0000000000,,,
Model Number,SDS1204X-E,,,
Serial Number,SDSMMEBQ4R4722,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1,CH2
Second,Volt,Volt
-3.500000E-02,+1.200000E-02,+1.440000E-02
-3.499000E-02,+1.200000E-02,+1.440000E-02
-3.498000E-02,+1.200000E-02,+1.520000E-02
-3.497000E-02,+1.200000E-02,+1.520000E-02
-3.496000E-02,+1.120000E-02,+1.680000E-02
-3.495000E-02,+1.200000E-02,+1.600000E-02
-3.494000E-02,+1.120000E-02,+1.520000E-02
-3.493000E-02,+1.280000E-02,+1.520000E-02
-3.492000E-02,+1.200000E-02,+1.520000E-02
-3.491000E-02,+1.120000E-02,+1.600000E-02
-3.490000E-02,+1.120000E-02,+1.600000E-02
-3.489000E-02,+1.200000E-02,+1.520000E-02
-3.488000E-02,+1.120000E-02,+1.520000E-02
-3.487000E-02,+1.280000E-02,+1.520000E-02
-3.486000E-02,+1.200000E-02,+1.520000E-02
-3.485000E-02,+1.120000E-02,+1.440000E-02
-3.484000E-02,+1.120000E-02,+1.520000E-02
-3.483000E-02,+1.120000E-02,+1.440000E-02
-3.482000E-02,+1.200000E-02,+1.520000E-02
-3.481000E-02,+1.200000E-02,+1.520000E-02
-3.480000E-02,+1.120000E-02,+1.600000E-02
-3.479000E-02,+1.200000E-02,+1.520000E-02
-3.478000E-02,+1.200000E-02,+1.520000E-02
-3.477000E-02,+1.200000E-02,+1.520000E-02
-3.476000E-02,+1.200000E-02,+1.520000E-02
-3.475000E-02,+1.120000E-02,+1.600000E-02
-3.474000E-02,+1.120000E-02,+1.520000E-02
-3.473000E-02,+1.200000E-02,+1.520000E-02
-3.472000E-02,+1.200000E-02,+1.600000E-02
-3.471000E-02,+1.200000E-02,+1.520000E-02
-3.470000E-02,+1.200000E-02,+1.600000E-02
-3.469000E-02,+1.200000E-02,+1.520000E-02
-3.468000E-02,+1.200000E-02,+1.440000E-02
-3.467000E-02,+1.200000E-02,+1.600000E-02
-3.466000E-02,+1.200000E-02,+1.440000E-02
-3.465000E-02,+1.120000E-02,+1.440000E-02
-3.464000E-02,+1.200000E-02,+1.520000E-02
-3.463000E-02,+1.200000E-02,+1.520000E-02
-3.462000E-02,+1.200000E-02,+1.520000E-02
-3.461000E-02,+1.280000E-02,+1.600000E-02
-3.460000E-02,+1.200000E-02,+1.520000E-02
-3.459000E-02,+1.200000E-02,+1.440000E-02
-3.458000E-02,+1.120000E-02,+1.520000E-02
-3.457000E-02,+1.280000E-02,+1.440000E-02
-3.456000E-02,+1.200000E-02,+1.440000E-02
-3.455000E-02,+1.200000E-02,+1.600000E-02
-3.454000E-02,+1.200000E-02,+1.520000E-02
-3.453000E-02,+1.200000E-02,+1.520000E-02
-3.452000E-02,+1.280000E-02,+1.520000E-02
-3.451000E-02,+1.280000E-02,+1.440000E-02
-3.450000E-02,+1.200000E-02,+1.520000E-02
-3.449000E-02,+1.120000E-02,+1.600000E-02
-3.448000E-02,+1.200000E-02,+1.520000E-02
-3.447000E-02,+1.120000E-02,+1.520000E-02
-3.446000E-02,+1.200000E-02,+1.440000E-02
-3.445000E-02,+1.120000E-02,+1.520000E-02
-3.444000E-02,+1.200000E-02,+1.520000E-02
-3.443000E-02,+1.200000E-02,+1.520000E-02
-3.442000E-02,+1.120000E-02,+1.520000E-02
-3.441000E-02,+1.200000E-02,+1.520000E-02
-3.440000E-02,+1.200000E-02,+1.600000E-02
-3.439000E-02,+1.120000E-02,+1.680000E-02
-3.438000E-02,+1.120000E-02,+1.520000E-02
-3.437000E-02,+1.120000E-02,+1.520000E-02
-3.436000E-02,+1.200000E-02,+1.600000E-02
-3.435000E-02,+1.200000E-02,+1.440000E-02
-3.434000E-02,+1.280000E-02,+1.520000E-02
-3.433000E-02,+1.200000E-02,+1.520000E-02
-3.432000E-02,+1.200000E-02,+1.520000E-02
-3.431000E-02,+1.120000E-02,+1.520000E-02
-3.430000E-02,+1.120000E-02,+1.520000E-02
-3.429000E-02,+1.200000E-02,+1.520000E-02
-3.428000E-02,+1.200000E-02,+1.440000E-02
-3.427000E-02,+1.120000E-02,+1.520000E-02
-3.426000E-02,+1.200000E-02,+1.440000E-02
-3.425000E-02,+1.200000E-02,+1.520000E-02
-3.424000E-02,+1.200000E-02,+1.680000E-02
-3.423000E-02,+1.200000E-02,+1.440000E-02
-3.422000E-02,+1.200000E-02,+1.520000E-02
-3.421000E-02,+1.120000E-02,+1.600000E-02
-3.420000E-02,+1.200000E-02,+1.520000E-02
-3.419000E-02,+1.120000E-02,+1.440000E-02
-3.418000E-02,+1.200000E-02,+1.520000E-02
-3.417000E-02,+1.120000E-02,+1.520000E-02
-3.416000E-02,+1.200000E-02,+1.520000E-02
-3.415000E-02,+1.120000E-02,+1.520000E-02
-3.414000E-02,+1.120000E-02,+1.520000E-02
-3.413000E-02,+1.200000E-02,+1.520000E-02
-3.412000E-02,+1.200000E-02,+1.520000E-02
-3.411000E-02,+1.200000E-02,+1.520000E-02
-3.410000E-02,+1.200000E-02,+1.520000E-02
-3.409000E-02,+1.200000E-02,+1.520000E-02
-3.408000E-02,+1.200000E-02,+1.440000E-02
-3.407000E-02,+1.120000E-02,+1.520000E-02
-3.406000E-02,+1.200000E-02,+1.600000E-02
-3.405000E-02,+1.120000E-02,+1.680000E-02
-3.404000E-02,+1.120000E-02,+1.440000E-02
-3.403000E-02,+1.200000E-02,+1.600000E-02
-3.402000E-02,+1.120000E-02,+1.360000E-02
-3.401000E-02,+1.120000E-02,+1.600000E-02
-3.400000E-02,+1.120000E-02,+1.360000E-02
-3.399000E-02,+1.120000E-02,+1.440000E-02
-3.398000E-02,+1.120000E-02,+1.600000E-02
-3.397000E-02,+1.200000E-02,+1.520000E-02
-3.396000E-02,+1.120000E-02,+1.600000E-02
-3.395000E-02,+1.200000E-02,+1.440000E-02
-3.394000E-02,+1.280000E-02,+1.440000E-02
-3.393000E-02,+1.200000E-02,+1.520000E-02
-3.392000E-02,+1.200000E-02,+1.520000E-02
-3.391000E-02,+1.200000E-02,+1.440000E-02
-3.390000E-02,+1.120000E-02,+1.520000E-02
-3.389000E-02,+1.200000E-02,+1.440000E-02
-3.388000E-02,+1.120000E-02,+1.520000E-02
-3.387000E-02,+1.200000E-02,+1.520000E-02
-3.386000E-02,+1.120000E-02,+1.520000E-02
-3.385000E-02,+1.120000E-02,+1.520000E-02
-3.384000E-02,+1.200000E-02,+1.520000E-02
-3.383000E-02,+1.200000E-02,+1.520000E-02
-3.382000E-02,+1.200000E-02,+1.440000E-02
-3.381000E-02,+1.280000E-02,+1.520000E-02
-3.380000E-02,+1.200000E-02,+1.520000E-02
-3.379000E-02,+1.120000E-02,+1.520000E-02
-3.378000E-02,+1.120000E-02,+1.600000E-02
-3.377000E-02,+1.200000E-02,+1.440000E-02
-3.376000E-02,+1.120000E-02,+1.520000E-02
-3.375000E-02,+1.120000E-02,+1.520000E-02
-3.374000E-02,+1.200000E-02,+1.520000E-02
-3.373000E-02,+1.120000E-02,+1.520000E-02
-3.372000E-02,+1.200000E-02,+1.600000E-02
-3.371000E-02,+1.120000E-02,+1.440000E-02
-3.370000E-02,+1.200000E-02,+1.520000E-02
-3.369000E-02,+1.120000E-02,+1.600000E-02
-3.368000E-02,+1.280000E-02,+1.440000E-02
-3.367000E-02,+1.120000E-02,+1.520000E-02
-3.366000E-02,+1.120000E-02,+1.520000E-02
-3.365000E-02,+1.200000E-02,+1.520000E-02
-3.364000E-02,+1.200000E-02,+1.440000E-02
-3.363000E-02,+1.120000E-02,+1.440000E-02
-3.362000E-02,+1.120000E-02,+1.520000E-02
-3.361000E-02,+1.200000E-02,+1.440000E-02
-3.360000E-02,+1.120000E-02,+1.520000E-02
-3.359000E-02,+1.200000E-02,+1.600000E-02
-3.358000E-02,+1.120000E-02,+1.520000E-02
-3.357000E-02,+1.120000E-02,+1.600000E-02
-3.356000E-02,+1.200000E-02,+1.440000E-02
-3.355000E-02,+1.200000E-02,+1.520000E-02
-3.354000E-02,+1.200000E-02,+1.440000E-02
-3.353000E-02,+1.120000E-02,+1.520000E-02
-3.352000E-02,+1.200000E-02,+1.440000E-02
-3.351000E-02,+1.120000E-02,+1.600000E-02
-3.350000E-02,+1.200000E-02,+1.520000E-02
-3.349000E-02,+1.200000E-02,+1.600000E-02
-3.348000E-02,+1.200000E-02,+1.520000E-02
-3.347000E-02,+1.280000E-02,+1.520000E-02
-3.346000E-02,+1.280000E-02,+1.680000E-02
-3.345000E-02,+1.200000E-02,+1.520000E-02
-3.344000E-02,+1.120000E-02,+1.680000E-02
-3.343000E-02,+1.200000E-02,+1.520000E-02
-3.342000E-02,+1.040000E-02,+1.520000E-02
-3.341000E-02,+1.200000E-02,+1.440000E-02
-3.340000E-02,+1.120000E-02,+1.600000E-02
-3.339000E-02,+1.200000E-02,+1.520000E-02
-3.338000E-02,+1.200000E-02,+1.520000E-02
-3.337000E-02,+1.200000E-02,+1.520000E-02
-3.336000E-02,+1.200000E-02,+1.520000E-02
-3.335000E-02,+1.200000E-02,+1.600000E-02
-3.334000E-02,+1.120000E-02,+1.440000E-02
-3.333000E-02,+1.200000E-02,+1.520000E-02
-3.332000E-02,+1.120000E-02,+1.600000E-02
-3.331000E-02,+1.120000E-02,+1.520000E-02
-3.330000E-02,+1.200000E-02,+1.520000E-02
-3.329000E-02,+1.200000E-02,+1.440000E-02
-3.328000E-02,+1.200000E-02,+1.440000E-02
-3.327000E-02,+1.120000E-02,+1.520000E-02
-3.326000E-02,+1.120000E-02,+1.520000E-02
-3.325000E-02,+1.200000E-02,+1.520000E-02
-3.324000E-02,+1.200000E-02,+1.520000E-02
-3.323000E-02,+1.200000E-02,+1.440000E-02
-3.322000E-02,+1.200000E-02,+1.440000E-02
-3.321000E-02,+1.200000E-02,+1.520000E-02
-3.320000E-02,+1.200000E-02,+1.360000E-02
-3.319000E-02,+1.120000E-02,+1.520000E-02
-3.318000E-02,+1.200000E-02,+1.440000E-02
-3.317000E-02,+1.200000E-02,+1.520000E-02
-3.316000E-02,+1.120000E-02,+1.600000E-02
-3.315000E-02,+1.120000E-02,+1.520000E-02
-3.314000E-02,+1.120000E-02,+1.600000E-02
-3.313000E-02,+1.120000E-02,+1.600000E-02
-3.312000E-02,+1.120000E-02,+1.600000E-02
-3.311000E-02,+1.200000E-02,+1.520000E-02
-3.310000E-02,+1.120000E-02,+1.520000E-02
-3.309000E-02,+1.200000E-02,+1.520000E-02
-3.308000E-02,+1.200000E-02,+1.600000E-02
-3.307000E-02,+1.200000E-02,+1.520000E-02
-3.306000E-02,+1.120000E-02,+1.680000E-02
-3.305000E-02,+1.120000E-02,+1.520000E-02
-3.304000E-02,+1.120000E-02,+1.440000E-02
-3.303000E-02,+1.200000E-02,+1.600000E-02
-3.302000E-02,+1.200000E-02,+1.520000E-02
-3.301000E-02,+1.200000E-02,+1.600000E-02
-3.300000E-02,+1.200000E-02,+1.600000E-02
-3.299000E-02,+1.120000E-02,+1.520000E-02
-3.298000E-02,+1.120000E-02,+1.440000E-02
-3.297000E-02,+1.200000E-02,+1.440000E-02
-3.296000E-02,+1.200000E-02,+1.520000E-02
-3.295000E-02,+1.120000E-02,+1.600000E-02
-3.294000E-02,+1.280000E-02,+1.360000E-02
-3.293000E-02,+1.120000E-02,+1.440000E-02
-3.292000E-02,+1.200000E-02,+1.440000E-02
-3.291000E-02,+1.200000E-02,+1.520000E-02
-3.290000E-02,+1.200000E-02,+1.520000E-02
-3.289000E-02,+1.200000E-02,+1.520000E-02
-3.288000E-02,+1.200000E-02,+1.440000E-02
-3.287000E-02,+1.120000E-02,+1.600000E-02
-3.286000E-02,+1.200000E-02,+1.360000E-02
-3.285000E-02,+1.200000E-02,+1.440000E-02
-3.284000E-02,+1.200000E-02,+1.360000E-02
-3.283000E-02,+1.040000E-02,+1.360000E-02
-3.282000E-02,+1.200000E-02,+1.440000E-02
-3.281000E-02,+1.120000E-02,+1.520000E-02
-3.280000E-02,+1.200000E-02,+1.440000E-02
-3.279000E-02,+1.200000E-02,+1.360000E-02
-3.278000E-02,+1.120000E-02,+1.520000E-02
-3.277000E-02,+1.120000E-02,+1.600000E-02
-3.276000E-02,+1.200000E-02,+1.520000E-02
-3.275000E-02,+1.200000E-02,+1.600000E-02
-3.274000E-02,+1.200000E-02,+1.520000E-02
-3.273000E-02,+1.120000E-02,+1.360000E-02
-3.272000E-02,+1.200000E-02,+1.520000E-02
-3.271000E-02,+1.200000E-02,+1.520000E-02
-3.270000E-02,+1.120000E-02,+1.520000E-02
-3.269000E-02,+1.200000E-02,+1.440000E-02
-3.268000E-02,+1.040000E-02,+1.600000E-02
-3.267000E-02,+1.120000E-02,+1.520000E-02
-3.266000E-02,+1.200000E-02,+1.520000E-02
-3.265000E-02,+1.200000E-02,+1.520000E-02
-3.264000E-02,+1.200000E-02,+1.440000E-02
-3.263000E-02,+1.120000E-02,+1.440000E-02
-3.262000E-02,+1.200000E-02,+1.520000E-02
-3.261000E-02,+1.120000E-02,+1.520000E-02
-3.260000E-02,+1.120000E-02,+1.440000E-02
-3.259000E-02,+1.120000E-02,+1.600000E-02
-3.258000E-02,+1.200000E-02,+1.520000E-02
-3.257000E-02,+1.200000E-02,+1.520000E-02
-3.256000E-02,+1.280000E-02,+1.520000E-02
-3.255000E-02,+1.120000E-02,+1.520000E-02
-3.254000E-02,+1.280000E-02,+1.440000E-02
-3.253000E-02,+1.200000E-02,+1.360000E-02
-3.252000E-02,+1.120000E-02,+1.520000E-02
-3.251000E-02,+1.200000E-02,+1.520000E-02
-3.250000E-02,+1.200000E-02,+1.520000E-02
-3.249000E-02,+1.200000E-02,+1.520000E-02
-3.248000E-02,+1.120000E-02,+1.520000E-02
-3.247000E-02,+1.200000E-02,+1.520000E-02
-3.246000E-02,+1.200000E-02,+1.520000E-02
-3.245000E-02,+1.120000E-02,+1.520000E-02
-3.244000E-02,+1.200000E-02,+1.600000E-02
-3.243000E-02,+1.120000E-02,+1.520000E-02
-3.242000E-02,+1.120000E-02,+1.600000E-02
-3.241000E-02,+1.200000E-02,+1.520000E-02
-3.240000E-02,+1.200000E-02,+1.520000E-02
-3.239000E-02,+1.200000E-02,+1.600000E-02
-3.238000E-02,+1.200000E-02,+1.520000E-02
-3.237000E-02,+1.200000E-02,+1.440000E-02
-3.236000E-02,+1.200000E-02,+1.440000E-02
-3.235000E-02,+1.120000E-02,+1.520000E-02
-3.234000E-02,+1.120000E-02,+1.520000E-02
-3.233000E-02,+1.120000E-02,+1.520000E-02
-3.232000E-02,+1.200000E-02,+1.520000E-02
-3.231000E-02,+1.120000E-02,+1.520000E-02
-3.230000E-02,+1.200000E-02,+1.440000E-02
-3.229000E-02,+1.200000E-02,+1.440000E-02
-3.228000E-02,+1.200000E-02,+1.520000E-02
-3.227000E-02,+1.200000E-02,+1.440000E-02
-3.226000E-02,+1.120000E-02,+1.520000E-02
-3.225000E-02,+1.200000E-02,+1.520000E-02
-3.224000E-02,+1.200000E-02,+1.440000E-02
-3.223000E-02,+1.200000E-02,+1.600000E-02
-3.222000E-02,+1.280000E-02,+1.600000E-02
-3.221000E-02,+1.120000E-02,+1.520000E-02
-3.220000E-02,+1.120000E-02,+1.600000E-02
-3.219000E-02,+1.200000E-02,+1.440000E-02
-3.218000E-02,+1.280000E-02,+1.520000E-02
-3.217000E-02,+1.200000E-02,+1.440000E-02
-3.216000E-02,+1.200000E-02,+1.440000E-02
-3.215000E-02,+1.200000E-02,+1.520000E-02
-3.214000E-02,+1.200000E-02,+1.440000E-02
