Record Length,Analog:7000
Sample Interval,CH:0.0000040000000
Vertical Units,CH1:V CH2:V CH4:V,,,
Vertical Scale,CH1:+1.000000E+00 CH2:+5.000000E-02 CH4:+1.000000E-01,,,
Vertical Offset,CH1:-4.000000E+00 CH2:+1.710000E-01 CH4:-2.000000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,2000.0000000000,,,
Model Number,SDS1204X-E,,,
Serial Number,SDSMMEBQ4R4722,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1,CH2,CH4
Second,Volt,Volt,Volt
+1.060000E-02,+1.840000E+00,-3.750000E-01,+2.036000E+00
+1.060400E-02,+1.880000E+00,-3.750000E-01,+2.032000E+00
+1.060800E-02,+1.920000E+00,-3.750000E-01,+2.032000E+00
+1.061200E-02,+1.920000E+00,-3.730000E-01,+2.036000E+00
+1.061600E-02,+1.960000E+00,-3.750000E-01,+2.036000E+00
+1.062000E-02,+1.920000E+00,-3.730000E-01,+2.032000E+00
+1.062400E-02,+1.920000E+00,-3.750000E-01,+2.036000E+00
+1.062800E-02,+1.920000E+00,-3.730000E-01,+2.036000E+00
+1.063200E-02,+1.960000E+00,-3.730000E-01,+2.036000E+00
+1.063600E-02,+2.000000E+00,-3.730000E-01,+2.036000E+00
+1.064000E-02,+1.960000E+00,-3.730000E-01,+2.036000E+00
+1.064400E-02,+2.000000E+00,-3.750000E-01,+2.036000E+00
+1.064800E-02,+1.960000E+00,-3.730000E-01,+2.036000E+00
+1.065200E-02,+2.000000E+00,-3.730000E-01,+2.036000E+00
+1.065600E-02,+2.000000E+00,-3.750000E-01,+2.036000E+00
+1.066000E-02,+2.000000E+00,-3.730000E-01,+2.036000E+00
+1.066400E-02,+2.040000E+00,-3.750000E-01,+2.036000E+00
+1.066800E-02,+2.040000E+00,-3.750000E-01,+2.036000E+00
+1.067200E-02,+2.040000E+00,-3.730000E-01,+2.036000E+00
+1.067600E-02,+2.080000E+00,-3.730000E-01,+2.036000E+00
+1.068000E-02,+2.080000E+00,-3.730000E-01,+2.036000E+00
+1.068400E-02,+2.120000E+00,-3.730000E-01,+2.036000E+00
+1.068800E-02,+2.080000E+00,-3.730000E-01,+2.036000E+00
+1.069200E-02,+2.120000E+00,-3.710000E-01,+2.036000E+00
+1.069600E-02,+2.120000E+00,-3.710000E-01,+2.036000E+00
+1.070000E-02,+2.120000E+00,-3.710000E-01,+2.036000E+00
+1.070400E-02,+2.160000E+00,-3.710000E-01,+2.036000E+00
+1.070800E-02,+2.160000E+00,-3.710000E-01,+2.036000E+00
+1.071200E-02,+2.200000E+00,-3.730000E-01,+2.036000E+00
+1.071600E-02,+2.160000E+00,-3.730000E-01,+2.036000E+00
+1.072000E-02,+2.240000E+00,-3.710000E-01,+2.036000E+00
+1.072400E-02,+2.200000E+00,-3.710000E-01,+2.036000E+00
+1.072800E-02,+2.200000E+00,-3.710000E-01,+2.036000E+00
+1.073200E-02,+2.200000E+00,-3.730000E-01,+2.036000E+00
+1.073600E-02,+2.280000E+00,-3.710000E-01,+2.036000E+00
+1.074000E-02,+2.240000E+00,-3.710000E-01,+2.036000E+00
+1.074400E-02,+2.280000E+00,-3.710000E-01,+2.036000E+00
+1.074800E-02,+2.320000E+00,-3.710000E-01,+2.036000E+00
+1.075200E-02,+2.280000E+00,-3.730000E-01,+2.036000E+00
+1.075600E-02,+2.360000E+00,-3.690000E-01,+2.036000E+00
+1.076000E-02,+2.360000E+00,-3.710000E-01,+2.036000E+00
+1.076400E-02,+2.320000E+00,-3.690000E-01,+2.036000E+00
+1.076800E-02,+2.400000E+00,-3.690000E-01,+2.036000E+00
+1.077200E-02,+2.360000E+00,-3.690000E-01,+2.040000E+00
+1.077600E-02,+2.440000E+00,-3.690000E-01,+2.036000E+00
+1.078000E-02,+2.360000E+00,-3.710000E-01,+2.036000E+00
+1.078400E-02,+2.400000E+00,-3.690000E-01,+2.036000E+00
+1.078800E-02,+2.440000E+00,-3.710000E-01,+2.036000E+00
+1.079200E-02,+2.480000E+00,-3.710000E-01,+2.040000E+00
+1.079600E-02,+2.440000E+00,-3.690000E-01,+2.040000E+00
+1.080000E-02,+2.480000E+00,-3.710000E-01,+2.036000E+00
+1.080400E-02,+2.480000E+00,-3.690000E-01,+2.040000E+00
+1.080800E-02,+2.520000E+00,-3.690000E-01,+2.040000E+00
+1.081200E-02,+2.480000E+00,-3.710000E-01,+2.040000E+00
+1.081600E-02,+2.520000E+00,-3.670000E-01,+2.040000E+00
+1.082000E-02,+2.520000E+00,-3.690000E-01,+2.040000E+00
+1.082400E-02,+2.600000E+00,-3.690000E-01,+2.040000E+00
+1.082800E-02,+2.600000E+00,-3.670000E-01,+2.040000E+00
+1.083200E-02,+2.560000E+00,-3.710000E-01,+2.040000E+00
+1.083600E-02,+2.600000E+00,-3.710000E-01,+2.040000E+00
+1.084000E-02,+2.600000E+00,-3.670000E-01,+2.040000E+00
+1.084400E-02,+2.680000E+00,-3.670000E-01,+2.040000E+00
+1.084800E-02,+2.640000E+00,-3.710000E-01,+2.040000E+00
+1.085200E-02,+2.640000E+00,-3.690000E-01,+2.040000E+00
+1.085600E-02,+2.680000E+00,-3.670000E-01,+2.040000E+00
+1.086000E-02,+2.720000E+00,-3.690000E-01,+2.040000E+00
+1.086400E-02,+2.720000E+00,-3.710000E-01,+2.040000E+00
+1.086800E-02,+2.720000E+00,-3.690000E-01,+2.040000E+00
+1.087200E-02,+2.760000E+00,-3.690000E-01,+2.040000E+00
+1.087600E-02,+2.760000E+00,-3.670000E-01,+2.040000E+00
+1.088000E-02,+2.760000E+00,-3.670000E-01,+2.040000E+00
+1.088400E-02,+2.760000E+00,-3.670000E-01,+2.040000E+00
+1.088800E-02,+2.840000E+00,-3.670000E-01,+2.040000E+00
+1.089200E-02,+2.800000E+00,-3.670000E-01,+2.040000E+00
+1.089600E-02,+2.840000E+00,-3.670000E-01,+2.040000E+00
+1.090000E-02,+2.840000E+00,-3.670000E-01,+2.040000E+00
+1.090400E-02,+2.840000E+00,-3.690000E-01,+2.040000E+00
+1.090800E-02,+2.880000E+00,-3.670000E-01,+2.040000E+00
+1.091200E-02,+2.880000E+00,-3.690000E-01,+2.040000E+00
+1.091600E-02,+2.920000E+00,-3.690000E-01,+2.040000E+00
+1.092000E-02,+2.960000E+00,-3.690000E-01,+2.040000E+00
+1.092400E-02,+2.960000E+00,-3.670000E-01,+2.040000E+00
+1.092800E-02,+2.920000E+00,-3.650000E-01,+2.040000E+00
+1.093200E-02,+3.000000E+00,-3.670000E-01,+2.040000E+00
+1.093600E-02,+3.040000E+00,-3.690000E-01,+2.040000E+00
+1.094000E-02,+3.000000E+00,-3.670000E-01,+2.040000E+00
+1.094400E-02,+3.000000E+00,-3.650000E-01,+2.040000E+00
