t,nu,I12
-0.035,-1471965700.168734,0.04652421051992359
-0.03499,-1468491040.0719457,0.05815526314990448
-0.03498,-1465015341.0372765,0.05750546327852957
-0.03497,-1461538603.5049644,0.0689700734807555
-0.03496,-1458060827.9152393,0.08141736840986627
-0.03495,-1454582014.7083428,0.08046508572754794
-0.03494,-1451102164.3245046,0.09196009797434058
-0.03493,-1447621277.203966,0.10467947366982801
-0.03492,-1444139353.786957,0.1163105262998089
-0.03491,-1440656394.513716,0.10350983390135317
-0.0349,-1437172399.824481,0.10229915092057106
-0.03489,-1433687370.1594825,0.10229915092057106
-0.03488,-1430201305.958961,0.12644513471471833
-0.03487,-1426714207.6631472,0.126512019212765
-0.03486,-1423226075.7122815,0.1395726315597707
-0.03485,-1419736910.5465949,0.12644513471471833
-0.03484,-1416246712.606327,0.1395726315597707
-0.03483,-1412755482.3317099,0.12644513471471833
-0.03482,-1409263220.16298,0.12503229556958687
-0.03481,-1405769926.5403767,0.126512019212765
-0.0348,-1402275601.90413,0.1395726315597707
-0.03479,-1398780246.6944802,0.12644513471471833
-0.03478,-1395283861.3516586,0.1279415789297898
-0.03477,-1391786446.3159049,0.11501092655705908
-0.03476,-1388288002.02745,0.1163105262998089
-0.03475,-1384788528.9265351,0.1163105262998089
-0.03474,-1381288027.45339,0.07956600627155519
-0.03473,-1377786498.048253,0.10467947366982801
-0.03472,-1374283941.151362,0.09304842103984705
-0.03471,-1370780357.2029476,0.09304842103984705
-0.0347,-1367275746.6432512,0.0689700734807555
-0.03469,-1363770109.912502,0.05750546327852957
-0.03468,-1360263447.4509416,0.04598004898717033
-0.03467,-1356755759.6988003,0.04652421051992359
-0.03466,-1353247047.0963185,0.03489315788994269
-0.03465,-1349737310.0837264,0.0
-0.03464,-1346226549.1012628,0.0
-0.03463,-1342714764.5891657,0.0
-0.03462,-1339201956.9876654,-0.023262105259961793
-0.03461,-1335688126.7370021,-0.03489315788994269
-0.0346,-1332173274.2774074,-0.0681994339470474
-0.03459,-1328657400.0491207,-0.05747506123396291
-0.03458,-1325140504.4923735,-0.09196009797434053
-0.03457,-1321622588.0474033,-0.0941241610670023
-0.03456,-1318103651.1544485,-0.12644513471471827
-0.03455,-1314583694.2537394,-0.12794157892978975
-0.03454,-1311062717.7855165,-0.13953488372093023
-0.03453,-1307540722.190011,-0.16283473681973243
-0.03452,-1304017707.9074626,-0.2045983018411421
-0.03451,-1300493675.3781025,-0.20001384226737992
-0.0345,-1296968625.042171,-0.22733144649015777
-0.03449,-1293442557.3398988,-0.22990024493585137
-0.03448,-1289915472.7115238,-0.26452513108123576
-0.03447,-1286387371.597284,-0.2841643081126973
-0.03446,-1282858254.4374108,-0.29902840904835354
-0.03445,-1279328121.6721435,-0.3105295017040594
-0.03444,-1275796973.7417133,-0.3105295017040594
-0.03443,-1272264811.086361,-0.3523637420597447
-0.03442,-1268731634.1463165,-0.36373031438425246
-0.03441,-1265197443.3618212,-0.36473112413463404
-0.0344,-1261662239.173105,-0.37649664426800933
-0.03439,-1258126022.020406,-0.3954557894193501
-0.03438,-1254588792.3439631,-0.41871789467931186
-0.03437,-1251050550.5840058,-0.41179320466813524
-0.03436,-1247511297.1807752,-0.4485426135725303
-0.03435,-1243971032.5745018,-0.43532424493488586
-0.03434,-1240429757.2054262,-0.4588552852016364
-0.03433,-1236887471.5137787,-0.4588552852016364
-0.03432,-1233344175.9398,-0.482386325468387
-0.03431,-1229799870.923721,-0.5
-0.0343,-1226254556.9057796,-0.511766315719159
-0.03429,-1222708234.3262136,-0.5116279069767442
-0.03428,-1219160903.6252537,-0.517682885868513
-0.03427,-1215612565.2431405,-0.5232558139534884
-0.03426,-1212063219.6201048,-0.5412139261352634
-0.03425,-1208512867.1963866,-0.5412139261352634
-0.03424,-1204961508.4122171,-0.5582905262390825
-0.03423,-1201409143.7078342,-0.5465116279069767
-0.03422,-1197855773.5234756,-0.563255600092836
-0.03421,-1194301398.2993724,-0.5581395348837209
-0.0342,-1190746018.4757645,-0.5747506123396285
-0.03419,-1187189634.492883,-0.5582905262390825
-0.03418,-1183632246.7909684,-0.5520524474738834
-0.03417,-1180073855.8102512,-0.5517605878460434
-0.03416,-1176514461.9909723,-0.5466594736091016
-0.03415,-1172954065.7733612,-0.5465116279069767
-0.03414,-1169392667.597657,-0.5348837209302325
-0.03413,-1165830267.9040978,-0.5412139261352634
-0.03412,-1162266867.1329134,-0.5348837209302325
-0.03411,-1158702465.724345,-0.5454545454545454
-0.0341,-1155137064.118623,-0.5227272727272727
-0.03409,-1151570662.755988,-0.5116279069767442
-0.03408,-1148003262.0766704,-0.5
-0.03407,-1144434862.5209107,-0.4883720930232558
-0.03406,-1140865464.5289397,-0.4883720930232558
-0.03405,-1137295068.5409954,-0.4712955021184954
-0.03404,-1133723674.9973161,-0.47727272727272724
-0.03403,-1130151284.3381321,-0.4418604651162791
-0.03402,-1126577897.0036838,-0.43681046537811774
-0.03401,-1123003513.4342022,-0.43681046537811774
-0.034,-1119428134.0699272,-0.41382044088453257
-0.03399,-1115851759.3510904,-0.3954557894193501
-0.03398,-1112274389.7179315,-0.3720930232558139
-0.03397,-1108696025.6106813,-0.36784039189736223
-0.03396,-1105116667.469578,-0.32558139534883723
-0.03395,-1101536315.7348597,-0.313953488372093
-0.03394,-1097954970.8467567,-0.31036533066339944
-0.03393,-1094372633.2455096,-0.29069767441860467
-0.03392,-1090789303.371349,-0.26744186046511625
-0.03391,-1087204981.664516,-0.25289026942943654
-0.0339,-1083619668.5652406,-0.23255813953488366
-0.03389,-1080033364.5137632,-0.2386363636363636
-0.03388,-1076446069.950315,-0.21590909090909097
-0.03387,-1072857785.3151333,-0.19541520819547376
-0.03386,-1069268511.048457,-0.15116279069767444
-0.03385,-1065678247.5905161,-0.17045454545454547
-0.03384,-1062086995.3815514,-0.13794014696151086
-0.03383,-1058494754.8617934,-0.11495012246792569
-0.03382,-1054901526.4714825,-0.09302325581395345
-0.03381,-1051307310.6508496,-0.08139534883720925
-0.0338,-1047712107.8401325,-0.06897007348075536
-0.03379,-1044115918.4795694,-0.046511627906976785
-0.03378,-1040518743.0093907,-0.023255813953488393
-0.03377,-1036920581.8698373,-0.022990024493585164
-0.03376,-1033321435.5011395,0.0
-0.03375,-1029721304.3435379,0.0
-0.03374,-1026120188.8372632,0.022990024493585164
-0.03373,-1022518089.4225558,0.03448503674037775
-0.03372,-1018915006.5396463,0.05747506123396291
-0.03371,-1015310940.6287729,0.05747506123396291
-0.0337,-1011705892.1301734,0.08139534883720931
-0.03369,-1008099861.4840788,0.09196009797434058
-0.03368,-1004492849.1307292,0.09196009797434058
-0.03367,-1000884855.5103554,0.1162790697674419
-0.03366,-997275881.063198,0.11495012246792576
-0.03365,-993665926.2294875,0.1279069767441861
-0.03364,-990054991.4494646,0.12644513471471833
-0.03363,-986443077.1633596,0.1511627906976745
-0.03362,-982830183.8114107,0.1379401469615109
-0.03361,-979216311.833856,0.1494351592083035
-0.0336,-975601461.6709262,0.1627906976744187
-0.03359,-971985633.7628615,0.1627906976744187
-0.03358,-968368828.5498928,0.1494351592083035
-0.03357,-964751046.4722606,0.1494351592083035
-0.03356,-961132287.9701953,0.1494351592083035
-0.03355,-957512553.4839376,0.1363636363636364
-0.03354,-953891843.4537182,0.1494351592083035
-0.03353,-950270158.319775,0.1494351592083035
-0.03352,-946647498.522346,0.1627906976744187
-0.03351,-943023864.5016618,0.1511627906976745
-0.0335,-939399256.6979631,0.1379401469615109
-0.03349,-935773675.5514805,0.1379401469615109
-0.03348,-932147121.5024544,0.11363636363636367
-0.03347,-928519594.9911155,0.1379401469615109
-0.03346,-924891096.4577016,0.12644513471471833
-0.03345,-921261626.342451,0.1279069767441861
-0.03344,-917631185.0855944,0.10345511022113317
-0.03343,-913999773.1273721,0.10465116279069771
-0.03342,-910367390.9080149,0.08046508572754801
